movieNm,director,company,distributor,openDt,nation,screen_cnt,audi_cnt,genre,rating,audi_score,exp_score,holiday,actor1,actor2,actor3,actor4,dir_score,actor1_score,actor2_score,actor3_score,actor4_score,dist_score,Action,Adventure,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Mystery,Romance,SF,Thriller,War,12_rating,15_rating,20_rating,all_rating
깡패와소녀,방현준,비에이치제이시네마,비에이치제이시네마,2020-07-22,한국,1,27,Drama,15_rating,8.03,5.85,0,서제일,한예진,임영서,박가현,310,310,27,27,1067,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
나의 불행에는 이유가 있다,한상민,MBIAS필름,시네마루,2010-11-25,한국,1,14,Drama,15_rating,7.65,1,0,배제기,정재식,주예린,김록경,14,14,14,14,14,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
타부 : 금지된 사랑,고구마,(주)대양미디어,대양미디어,2015-09-03,한국,1,8,Romance,20_rating,10,7.29,0,박세미,위지웅,박하얀,유다은,8,8,165,8,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
건달티처,어일선,"(주)컨텐츠 빌리지,(주)스토리풀",드림팩트엔터테인먼트,2019-08-29,한국,1,1,Action,20_rating,2.5,1.82,1,지화섭,주보비,오재무,천영민,1,1,1,193724,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
고양이 소녀,최경진,영화사시작,골든타이드픽처스,2013-11-28,한국,1,1,Romance,20_rating,5.02,3.66,0,이수완,히로사와 소우,신유주,임태상,1,1,1,3765,1,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
도둑냥,지풍승,굿픽처스,굿픽처스,2020-04-15,한국,1,1,Comedy,20_rating,4.38,3.19,0,한지호,이예지,한상철,한상조,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
사랑에도 저작권이 있나요?,최경진,골든타이드픽처스(주),골든타이드픽처스,2015-05-21,한국,1,1,Comedy,20_rating,7.1,5.18,1,최재환,왕빛나,김기연,박명신,1,43562,1,1,1,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
싸움의 기술 2,김희성,(주)영화사 사계절,영화사 사계절,2020-05-22,한국,1,1,Action,20_rating,5.44,3.97,0,윤경호,사우,오우진,류권하,1,1525718,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
짱,송재덕,"(주)영화사 사계절,펀펀한영화사",영화사 사계절,2018-12-28,한국,1,1,Action,20_rating,3.63,2.65,0,문지후,김이린,김수경,위광훈,1,1,1,528153,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
캠핑,김주만,(주)영화사단막극장,제인앤유,2016-09-01,한국,1,1,Thriller,20_rating,2.71,1.98,1,채민서,에리카,김민혁,김희상,1,916,3344,2070,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
픽업 아티스트,전도한,자작나무영화사,골든타이드픽처스,2014-08-28,한국,1,1,Comedy,20_rating,7.83,5.71,1,박용범,최호중,탁호연,김대우,1,1,1,1,1,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
